time,swing,boom,arm,bucket,swingmodel,boommodel,armmodel,bucketmodel
26.428382,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.439540,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.455523,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.489695,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.501743,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.527061,-1.5684,-0.956,1.5712,-0.5228,89.8627,333.5692,90,330.0458
26.540799,-1.5684,-0.956,1.5712,-0.5228,89.8627,333.5692,90,330.0458
26.570568,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.598724,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.624907,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.648181,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.660166,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.683310,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.710055,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.739086,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.758857,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.780721,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.807446,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.829813,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.851716,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.862516,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.886141,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.902738,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.923708,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
26.946731,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.968424,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
26.983716,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.005751,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.017629,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.029674,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.040524,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.063639,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.083179,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.094430,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.112075,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.123254,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.136549,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.148883,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.160507,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.172692,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.183392,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.195384,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.206658,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.218135,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.230829,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.242143,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.254885,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.266097,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.276977,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.288875,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.300575,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.339822,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
27.351249,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
27.362960,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
27.387155,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
27.422791,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.445415,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.468719,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.488238,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.508567,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.523923,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.553551,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.575985,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.595047,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.639582,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.655054,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.681140,-1.5684,-0.956,1.5712,-0.5228,89.8627,333.5692,90,330.0458
27.715825,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
27.763069,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.789654,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.804031,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.829978,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
27.859893,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
